event,date,domain,what_happened,failure_mode,system_component,ex_ante,ex_ante_why,real_response,system_move,match,match_why,recovery,in_data,sources
Haiti earthquake,2010-01-12,Health commodities / Haiti,M7.0 quake destroyed Port-au-Prince port and road infrastructure; aid surged through a broken gateway.,Destination-region shock (every lane into the region hit at once),Stage 21 blind service-series detector,NO,"Earthquakes are not predictable from delivery data — this row tests DETECTION, not prediction.","Rerouting via Dominican Republic, air bridging, buffer drawdown, months of phased port restoration.",Detect early; alternates can't fix a destination shock -> buffer + communicate delay (T5-style).,PARTIAL,System's honest answer (buffer + delay comms) is what reality did; no supplier swap can fix a destroyed port.,Port partial ops within weeks; normalization took months.,"Stage 21 episode #7: first alert window 2010-06, peak p=3.2e-14 (13/18 late vs 4.6% baseline), found blind.",USGS; UN Logistics Cluster 2010 reports
Cote d'Ivoire post-election crisis,2010-12 to 2011-04,All imports incl. health / Cote d'Ivoire,"Disputed Nov-28-2010 election -> dual governments, sanctions, Jan-2011 cocoa export ban (~450K tonnes stuck), civil conflict to Gbagbo's arrest 2011-04-11; banking system frozen.",Destination-region political shock; ports sanctioned,Stage 21 blind service-series detector,PARTIAL,"Political-risk indices flagged the election risk, but that signal is outside this dataset; our detector is reactive here.","Rerouting via neighbouring corridors (Ghana/Togo), program delays, phased normalization after Apr-2011.",Alternate-corridor reroute + buffer + delay comms.,PARTIAL,Detector's episode END (2011-08) tracks the documented months-long normalization after the April resolution — the data sees the same recovery shape the record describes.,Conflict ended Apr 2011; export/banking normalization through H2 2011.,"Stage 21 episode #2: 2010-12..2011-08, peak p=4.4e-22 (23/32 late vs 6% baseline) — onset one month after the disputed election, found blind.",Wikipedia 2010-11 Ivorian crisis; Britannica; USIP testimony May 2011
South Africa strike wave,2010-05 + 2010-08/09,Ports/rail + public health workers / South Africa,"3-week Transnet strike halted ports & freight rail (ended 2010-05-28, ~R7bn cost); 1M-worker public-sector strike from 2010-08-18 shut clinics and hospitals.",National logistics + last-mile health-system stoppage,Stage 21 blind service-series detector,NO,Strike timing not inferable from delivery history alone.,Backlog clearing after settlements; court-ordered emergency services; military medics deployed.,Buffer + delay comms; alternates don't help when the DESTINATION system is striking.,PARTIAL,Especially relevant lane: SCMS delivers TO the very clinics that were shut; detector fires exactly across both strike periods.,Ports normalised weeks after May settlement; health strike ended Sep 2010.,"Stage 21 episode #3: 2010-07..2011-07, peak p=3.9e-18 (19/32 late vs 4% baseline), found blind.",Daily Maverick (Transnet 2010 settlement); CS Monitor Aug 2010; SAJBL
Tohoku earthquake -> Renesas Naka fab,2011-03-11,"Automotive / semiconductors, Japan",Quake+tsunami knocked out the Renesas Naka fab (~40% of global automotive MCUs). Toyota discovered sub-tier single-sourcing it didn't know it had; global output cuts for months.,HIDDEN single source at tier 2+ — exactly the T5/HHI class,SCMS-spine T5 scan + concentration register (needs multi-tier data),PARTIAL,The scan flags this class IF multi-tier data exists — which firms lacked. That gap is precisely what this project's graph builds.,"Industry consortium rebuilt the fab (partial June, full ~Sep 2011); Toyota then built the RESCUE supplier-mapping database + dual-sourcing/buffers for critical parts.",Exposure register ex ante; T2 qualification + buffer for single-sourced criticals.,YES,Toyota's RESCUE database IS an exposure register — the industry built our Stage-19 artifact after paying for not having it.,~6 months to full fab output; Toyota production normalised ~Nov 2011.,,Reuters 2011; Toyota RESCUE case literature (e.g. Matsuo 2015)
Xirallic pigment shortage (Merck Onahama),2011-03-11,"Automotive paint, global",The world's ONLY Xirallic effect-pigment plant sat in the Fukushima exclusion zone; Ford/Chrysler/Toyota restricted certain vehicle colours globally.,"TRUE global single source (T5, no alternate anywhere)",SCMS-spine T5 scan,YES,One plant globally for a product IS the scan's exact target; visible in supply data before any disaster.,Short term: colour substitution. Merck restarted ~8 weeks later (May 2011) and later qualified a second site (Germany).,Buffer sized for single-source lane + qualify second site (our exact pair) — but ladder has NO product-substitution tier.,PARTIAL,Merck's eventual fix = our buffer+qualify pair; the instant fix (substitute the product) is a strategy our ladder lacks -> LIMITATION surfaced.,~8 weeks to restart; full supply by summer 2011.,,Merck KGaA statements 2011; Automotive News 2011
KFC UK distribution switch,2018-02,"Quick-service restaurants, UK",KFC moved distribution from multi-depot Bidvest to a single unproven DHL/QSL depot; its failure closed most of ~900 stores within days.,"Deliberate DE-dualization -> single node, no proven alternate",Concentration flag / HHI register + spine T5,YES,"The exposure was created by a visible contract decision — one depot serving everything is textbook concentration, flaggable the day it was signed.",Partial reversion: Bidvest re-signed for up to 350 stores = re-dual-sourcing.,Flag ex ante; qualification shortlist back to the proven alternate (T2).,YES,Reality's fix IS the shortlist's #1 move: re-qualify the vendor with proven capability.,Most stores reopened within ~2 weeks; menus limited ~a month.,,BBC / Guardian Feb-Mar 2018
Ever Given / Suez blockage,2021-03-23 to 03-29,Global container shipping,6-day canal blockage queued ~370 ships (~12% of global trade); knock-on port congestion for months.,"ROUTE chokepoint (edge concentration), not a vendor failure","NONE — this system models vendor/lane concentration, not maritime route edges",NO,Vocabulary gap: our graph has no route/chokepoint edges to concentrate risk on. Reported as a LIMITATION.,"Wait (most ships) vs reroute via Cape of Good Hope (+~9 days); backlog cleared in ~a week, congestion echoed for months.","The reroute decision is ladder-shaped (proven alternate path vs delay), but outside our modelled graph.",PARTIAL,Decision structure matches the ladder; the object (a route) is not in our model.,Canal cleared in 6 days; queue ~1 week; congestion months.,,Suez Canal Authority; Lloyd's List 2021
COVID-19 PPE shortage,2020 Q1-Q2,"Medical supplies, global",Demand x10 while the supply base was geographically concentrated (China produced ~half of masks) and export controls spread.,Geographic concentration x demand shock,HHI/geographic concentration register,PARTIAL,The CONCENTRATION was visible in trade data ex ante (register would flag); the demand shock's magnitude was not.,"Emergency qualification of new suppliers, allocation rules, reuse protocols; later: strategic stockpiles + regional manufacturing mandates.","Exposure register ex ante; T2 emergency qualification + buffer — the system's exact pair, at national scale.",YES,"Post-COVID policy (stockpiles + qualified second sources) is the buffer+scorecard playbook, adopted worldwide.",Months; broad normalization late 2020.,,WHO / OECD 2020 supply-chain reports
Texas freeze (Winter Storm Uri),2021-02-13 to 02-20,"Petrochemicals, US Gulf","Freeze knocked out most US ethylene/polypropylene capacity — clustered in one state; force-majeure wave, plastics shortages into summer.",REGIONAL concentration (one geography = most of capacity),"Geographic concentration register (state-level, like our ARCOS retailer_state analysis)",YES,"Capacity share by state is static, public, and extreme — the register flags it with no forecasting needed.","Inventory drawdown, allocation, customer delay — few alternates exist at that scale.",T5-style: buffer + delay comms (alternate capacity genuinely does not exist).,YES,Uncomfortable but real: reality had no reroute either — the system's 'honest T5' answer is what happened.,Plants restarted over weeks; downstream shortages ~2 quarters.,,ICIS / S&P Platts 2021
Colonial Pipeline ransomware,2021-05-07 to 05-12,"Fuel, US East Coast",Cyberattack shut a pipeline carrying ~45% of East Coast fuel for 6 days; panic buying amplified shortages.,Single-artery EDGE + cyber trigger,Stage 4 betweenness centrality (the artery IS a max-betweenness edge); cyber timing unpredictable,PARTIAL,The artery's criticality is visible in graph centrality ex ante; the attack's timing is not.,"Buffer drawdown + modal substitution (trucking waivers, hours-of-service exemptions) + 6-day restore.",Flag the artery; T3-style modal alternate + buffer.,PARTIAL,"Matches on structure; our graph models one modality, so the trucking substitution lives at the ladder's edge.",6 days to restart; retail normalization ~2 weeks.,,US DOE / CISA 2021
Eyjafjallajokull ash cloud,2010-04-14 to 04-21,"Air freight, Europe",European airspace closed ~6-8 days (~100K flights cancelled); air-freighted pharma/perishables/electronics frozen.,MODE outage (all air lanes at once),Stage 21 detector — but per-COUNTRY windows dilute a per-MODE event,NO,Not predictable; and detection granularity mismatch: SCMS air late-rate rose 17% vs 10% baseline in the window — visible but below episode threshold when aggregated by country. LIMITATION: detector should also run per shipment-mode.,"Mode shift (road/sea, charters via southern Europe) + wait.",Mode-level alternate = T3-style; needs mode-aware detection first.,PARTIAL,Response vocabulary fits; detection granularity gap surfaced and reported.,Airspace reopened in ~a week; backlog days-weeks.,Weak in-data signal: air lanes 17% late vs 10% baseline in Apr-Jun 2010 (below alert threshold — reported honestly).,Eurocontrol 2010
